# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ip-10-234-134-85.us-west-1.compute.internal;60;1441163445;3226936;122242524;97.43;0;120690360;8910508;7.10;107598416;13157324;2684
ip-10-234-134-85.us-west-1.compute.internal;60;1441163505;592604;124876856;99.53;0;123239348;8910428;7.10;81239748;42064140;5588
ip-10-234-134-85.us-west-1.compute.internal;60;1441163565;612356;124857104;99.51;0;123140892;8910428;7.10;64290912;58916260;128052
ip-10-234-134-85.us-west-1.compute.internal;60;1441163625;584124;124885336;99.53;0;122363448;9648932;7.69;57654744;65510356;371444
ip-10-234-134-85.us-west-1.compute.internal;60;1441163685;603460;124866000;99.52;0;121238184;10710016;8.54;58150396;64950760;460
ip-10-234-134-85.us-west-1.compute.internal;60;1441163745;696856;124772604;99.44;0;121125040;10710016;8.54;58099352;64888940;59208
ip-10-234-134-85.us-west-1.compute.internal;60;1441163805;1215508;124253952;99.03;0;120580416;10710016;8.54;57830884;64612980;664
ip-10-234-134-85.us-west-1.compute.internal;60;1441163865;1516624;123952836;98.79;0;120254148;10710012;8.54;57669184;64448704;224
ip-10-234-134-85.us-west-1.compute.internal;60;1441163925;1649132;123820328;98.69;0;120098344;10710016;8.54;57587496;64373692;1840
ip-10-234-134-85.us-west-1.compute.internal;60;1441163985;1734540;123734920;98.62;0;119991216;10709948;8.54;57531200;64322556;4484
ip-10-234-134-85.us-west-1.compute.internal;60;1441164045;1775828;123693632;98.58;0;119927856;10710012;8.54;57507008;64283800;208
ip-10-234-134-85.us-west-1.compute.internal;60;1441164105;1802896;123666564;98.56;0;119875620;10710024;8.54;57474132;64264948;196
ip-10-234-134-85.us-west-1.compute.internal;60;1441164165;1382416;124087044;98.90;0;121131952;9854436;7.85;65169596;56946868;33060
ip-10-234-134-85.us-west-1.compute.internal;60;1441164225;1041728;124427732;99.17;0;117740376;13567228;10.81;75995548;46440012;232
ip-10-234-134-85.us-west-1.compute.internal;60;1441164285;1009456;124460004;99.20;0;121601904;9767508;7.78;70220944;52228688;220
ip-10-234-134-85.us-west-1.compute.internal;60;1441164345;918492;124550968;99.27;0;120842196;10587060;8.44;66388788;56162620;176
ip-10-234-134-85.us-west-1.compute.internal;60;1441164405;826808;124642652;99.34;0;120086108;11496704;9.16;66833032;55798636;248
ip-10-234-134-85.us-west-1.compute.internal;60;1441164465;692352;124777108;99.45;0;119356480;12619376;10.06;67318424;55434696;196
ip-10-234-134-85.us-west-1.compute.internal;60;1441164525;696996;124772464;99.44;0;118509080;13340788;10.63;67716732;55024800;208
ip-10-234-134-85.us-west-1.compute.internal;60;1441164585;583140;124886320;99.54;0;117753424;14070072;11.21;68182644;54653368;176
ip-10-234-134-85.us-west-1.compute.internal;60;1441164645;699580;124769880;99.44;0;116854640;14733936;11.74;68531444;54187096;48
ip-10-234-134-85.us-west-1.compute.internal;60;1441164705;734420;124735040;99.41;0;116818160;14732392;11.74;68526564;54156308;216
ip-10-234-134-85.us-west-1.compute.internal;60;1441164765;583440;124886020;99.53;0;122739912;8937884;7.12;66286752;56543268;232
ip-10-234-134-85.us-west-1.compute.internal;60;1441164825;612004;124857456;99.51;0;122710376;8941080;7.13;65712052;57091968;22788
ip-10-234-134-85.us-west-1.compute.internal;60;1441164885;605288;124864172;99.52;0;122712768;8944060;7.13;65717632;57092412;240
ip-10-234-134-85.us-west-1.compute.internal;60;1441164945;591560;124877900;99.53;0;122725540;8947392;7.13;65727488;57097256;492
ip-10-234-134-85.us-west-1.compute.internal;60;1441165005;605596;124863864;99.52;0;122816784;8952592;7.14;65779836;57143340;2712
ip-10-234-134-85.us-west-1.compute.internal;60;1441165065;583064;124886396;99.54;0;122483436;9418404;7.51;66072288;56979248;1344
ip-10-234-134-85.us-west-1.compute.internal;60;1441165125;583824;124885636;99.53;0;122136108;9738456;7.76;73541336;49489156;220
ip-10-234-134-85.us-west-1.compute.internal;60;1441165185;590132;124879328;99.53;0;122137896;9738388;7.76;85558072;37473568;236
ip-10-234-134-85.us-west-1.compute.internal;60;1441165245;597976;124871484;99.52;0;115936660;15931764;12.70;77420188;45597536;244
ip-10-234-134-85.us-west-1.compute.internal;60;1441165305;596176;124873284;99.52;0;109893008;21972236;17.51;78197584;44813676;220
ip-10-234-134-85.us-west-1.compute.internal;60;1441165365;606524;124862936;99.52;0;104397556;27447168;21.88;80621560;42367276;224
ip-10-234-134-85.us-west-1.compute.internal;60;1441165425;584444;124885016;99.53;0;99471436;32383204;25.81;83134292;39862364;240
ip-10-234-134-85.us-west-1.compute.internal;60;1441165485;586696;124882764;99.53;0;94781900;37063120;29.54;85934364;37057008;232
ip-10-234-134-85.us-west-1.compute.internal;60;1441165545;604684;124864776;99.52;0;90043532;41784016;33.30;85070576;37902592;228
ip-10-234-134-85.us-west-1.compute.internal;60;1441165605;594236;124875224;99.53;0;85508152;46328696;36.92;84487336;38493032;220
ip-10-234-134-85.us-west-1.compute.internal;60;1441165665;604720;124864740;99.52;0;82599708;49213816;39.22;85918068;37038744;224
ip-10-234-134-85.us-west-1.compute.internal;60;1441165725;599100;124870360;99.52;0;82599996;49213764;39.22;85919652;37039288;188
ip-10-234-134-85.us-west-1.compute.internal;60;1441165785;602092;124867368;99.52;0;82590684;49213824;39.22;85910892;37038892;224
ip-10-234-134-85.us-west-1.compute.internal;60;1441165845;594132;124875328;99.53;0;82584800;49214104;39.22;85911988;37033676;37468
